# Format: CH Sector, Career, Adzuna Title,
Digital Tech,Project Manager,Project Manager IT,
Digital Tech,Management Consultant,Management Consultant IT,
Digital Tech,IT Manager,IT Manager,
Digital Tech,IT Consultant,IT Consultant,
Digital Tech,Business Analyst, ,Business Analyst IT,
Digital Tech,IT Service Manager,IT Service Manager,
Digital Tech,Network Engineer,Network Engineer,
Digital Tech,Software Developer,Software Developer,
Digital Tech,Data Analyst,,Data Analyst Technology,
Digital Tech,Test Analyst,Test Analyst,
Digital Tech,Web Developer,Web Developer,
Digital Tech,Web Designer,Web Designer,
Digital Tech,Database Administrator,Database Administrator,
Digital Tech,Digital Marketer,Digital Marketer,
Digital Tech,Animator,Animator,
Digital Tech,Cyber Security Analyst,Cyber Security Analyst,
Digital Tech,IT Trainer,IT Trainer,
Digital Tech,Data Scientist,Data Scientist,
Digital Tech,Game Developer,Game Developer,
Digital Tech,Game Designer,Game Designer,
Automotive Sales and Service,Sales Director, Sales Manager,
Automotive Sales and Service,Service Advisor,Service Advisor Automotive,
Automotive Sales and Service,Sales Executive,Sales Executive Automotive,
Automotive Sales and Service,Sales Manager,Sales Manager Automotive,
Automotive Sales and Service,Business Manager,Business Manager Automotive,
Automotive Sales and Service,Parts Manager,Parts Manager,
Automotive Sales and Service,General Manager,General Manager Automotive,
Automotive Sales and Service,Parts Advisor,Parts Advisor,
Automotive Sales and Service,Driving Instructor,Driving Instructor,
Automotive Sales and Service,Workshop Controller,Workshop Controller Automotive,
Automotive Sales and Service,Fleet Manager,Fleet Manager,
Automotive Engineering and Manufacturing,Mechanical/Design Engineer,Mechanical Design Engineer,
Automotive Engineering and Manufacturing,Vehicle Technician,Vehicle Technician,,
Automotive Engineering and Manufacturing,Project Engineer,Project Engineer Automotive,
Automotive Engineering and Manufacturing,Quality Engineer,Quality Engineer Automotive,
Automotive Engineering and Manufacturing,Manufacturing Engineer,Manufacturing Engineer Automotive,
Automotive Engineering and Manufacturing,Buyer,Technical Buyer,
Automotive Engineering and Manufacturing,Maintenance Engineer,,Maintenance Engineer Automotive,
Healthcare,Nurse,Nurse,,
Healthcare,Healthcare Assistant,Healthcare Assistant,,
Healthcare,Care Worker,Care Worker,,
Healthcare,Doctor,Doctor,,
Healthcare,General Practitioner (GP),General Practitioner (GP),,
Healthcare,Surgeon,Surgeon,,
Healthcare,Dentist,Dentist,,
Healthcare,Physiotherapist,Physiotherapist,,
Healthcare,Occupational Therapist,Occupational Therapist,,
Healthcare,Speech and Language Therapist,Speech and Language Therapist,,
Healthcare,Care Manager,Care Manager,,
Healthcare,Paramedic,Paramedic,,
Healthcare,Healthcare Administrator,Healthcare Administrator,,
Healthcare,Health Service Manager,Health Service Manager,,
Healthcare,Biomedical Scientist,Biomedical Scientist,,
Healthcare,Radiographer,Radiographer,,
Healthcare,Optician,Optician,,
Healthcare,Pharmacist,Pharmacist,,
Healthcare,Midwife,Midwife,,
Financial Services,Portfolio Manager,Portfolio Manager Finance,
Financial Services,Risk Manager,Risk Manager,,
Financial Services,Tax Manager,Tax Manager,,
Financial Services,Data Analyst,Data Analyst finance,
Financial Services,Risk Analyst,Risk Analyst,,
Financial Services,Mortgage Advisor,Mortgage Advisor,,
Financial Services,Investment Banker,Investment Banker,,
Financial Services,Bank Manager,Bank Manager,,
Financial Services,Business Analyst,,Business Analyst Finance,
Financial Services,Audit Manager,Audit Manager,,
Financial Services,Accountant,Accountant,,
Financial Services,Relationship Manager,Relationship Manager Finance,
Financial Services,Financial Analyst,Financial Analyst,,
Financial Services,Financial Advisor,Financial Advisor,,
Financial Services,Tax Assistant,Tax Assistant,,
Financial Services,Quantitative Analyst,Quantitative Analyst,,
Financial Services,Banker,Banker,,
Financial Services,Trader,Trader,,
Financial Services,Personal Banker,Personal Banker,,
Financial Services,Personal Assistant,,Personal Assitant Finance,
Financial Services,Client Manager,,Account Manager Finance,
Financial Services,Change Analyst,,Finance Change Analyst,
Financial Services,Actuary,Actuary,,
Financial Services,Financial Administrator,Financial Administrator,,
Financial Services,Payroll Manager,Payroll Manager,,
Financial Services,Customer Advisor,Customer Advisor Banking,
Biosciences,Biotechnology Professional,Biotechnology,,
Biosciences,Application Specialist,Application Specialist,
Biosciences,Microbiologist,Microbiologist,,
Biosciences,Scientist,Biology Scientist,
Biosciences,Research Scientist,Biology Research Scientist,
Biosciences,Laboratory Technician,Laboratory Technician,
Biosciences,Biomedical Scientist,Biomedical Scientist,,
Biosciences,Nanotechnology Professional,Nanotechnology,
Mechanical Engineering,Mechanical Engineer,Mechanical Engineer,
Mechanical Engineering,Service Engineer,,Mechanical Services Engineer,
Mechanical Engineering,Engineer,Engineer,,
Mechanical Engineering,Industrial Engineer,Industrial Engineer,,
Mechanical Engineering,Design Engineer,Design Engineer,,
Mechanical Engineering,CNC Programmer,CNC Programmer,,
Mechanical Engineering,Project Engineer,,Project Engineer Mechanical,
Mechanical Engineering,Mechanical Designer,Mechanical Designer,,
Mechanical Engineering,Engineering Manager,Engineering Manager,,
Mechanical Engineering,Sales Engineer,Sales Engineer,,
Mechanical Engineering,Manufacturing Engineer,Manufacturing Engineer,,
Mechanical Engineering,Industrial Automation Professional,Industrial Automation,,
Mechanical Engineering,Purchasing Manager,Purchasing Manager,,
Mechanical Engineering,Electrical Engineer,Electrical Engineer,,
Mechanical Engineering,Mechanic,Mechanic,,
Mechanical Engineering,Machinery Professional,Machinery,,
Electrical Engineering,Electrical/Electronic Manufacturing Professional,Electrical/Electronic Manufacturing,
Electrical Engineering,Electrician,Electrician,,
Electrical Engineering,Engineer,,Electrical Engineer,
Electrical Engineering,Service Engineer,,Service Engineer Electrical,
Electrical Engineering,Electrical/Electronic Engineer,,Electrical Engineer,
Electrical Engineering,Application Engineer,Application Engineer,,
Electrical Engineering,Design Engineer,,Electrical Design Engineer,
Electrical Engineering,Production Engineer,Production Engineer,,
Electrical Engineering,Electronics Engineer,Electronics Engineer,,
Electrical Engineering,Equipment Engineer,Equipment Engineer,,
Electrical Engineering,Consumer Electronics Professional,,Electronics Engineer,
Electrical Engineering,Engineering Manager,Engineering Manager,,
Electrical Engineering,Technical Manager,,Technical Electrical Manager,
Electrical Engineering,Hardware Design Engineer,Hardware Design Engineer,,
Electrical Engineering,Electrical Test Engineer,Electrical Test Engineer,,
Electrical Engineering,Quality Manager,,Quality Manager Engineer,
Electrical Engineering,Operations Director,,Operations Manager Electrical,
