1 ,52405 
11 ,55946 
111 ,108450 
1115 ,114486 
1116 ,0 
112 ,51767 
1121 ,52172 
1122 ,49372 
1123 ,52237 
113 ,69855 
1131 ,75465 
1132 ,82211 
1133 ,54320 
1134 ,63068 
1135 ,52858 
1136 ,71968 
1139 ,56333 
115 ,71477 
1150 ,71477 
116 ,36076 
1161 ,43364 
1162 ,31811 
117 ,56987 
1171 ,0 
1172 ,62266 
1173 ,50868 
118 ,44615 
1181 ,46756 
1184 ,39267 
119 ,30058 
1190 ,30058 
12 ,32950 
121 ,27564 
1211 ,27594 
1213 ,0 
122 ,26716 
1221 ,25973 
1223 ,22844 
1224 ,0 
1225 ,32049 
1226 ,29183 
124 ,30327 
1241 ,27642 
1242 ,31418 
125 ,37825 
1251 ,38853 
1252 ,39765 
1253 ,23638 
1254 ,0 
1255 ,41541 
1259 ,37234 
2 ,37765 
21 ,42959 
211 ,38824 
2111 ,35917 
2112 ,38361 
2113 ,46505 
2114 ,32586 
2119 ,38307 
212 ,41977 
2121 ,41140 
2122 ,44733 
2123 ,46303 
2124 ,46307 
2126 ,41228 
2127 ,39611 
2129 ,41884 
213 ,44665 
2133 ,50767 
2134 ,48296 
2135 ,48073 
2136 ,41770 
2137 ,31061 
2139 ,40152 
214 ,33727 
2141 ,31530 
2142 ,34416 
215 ,50425 
2150 ,50425 
22 ,33871 
221 ,53380 
2211 ,71455 
2212 ,37329 
2213 ,37132 
2214 ,29457 
2215 ,42900 
2216 ,32145 
2217 ,32243 
2218 ,27564 
2219 ,30635 
222 ,27600 
2221 ,28714 
2222 ,26866 
2223 ,26159 
2229 ,26537 
223 ,26638 
2231 ,26468 
2232 ,29492 
23 ,33845 
231 ,33845 
2311 ,43411 
2312 ,30144 
2314 ,34460 
2315 ,29896 
2316 ,31056 
2317 ,51143 
2318 ,32558 
2319 ,18400 
24 ,41490 
241 ,55127 
2412 ,43743 
2413 ,45367 
2419 ,75994 
242 ,44352 
2421 ,40004 
2423 ,46005 
2424 ,49374 
2425 ,65604 
2426 ,31667 
2429 ,38490 
243 ,39525 
2431 ,43332 
2432 ,36841 
2433 ,39811 
2434 ,38433 
2435 ,33692 
2436 ,38007 
244 ,27433 
2442 ,29300 
2443 ,24737 
2444 ,22526 
2449 ,27905 
245 ,23670 
2451 ,24117 
2452 ,22927 
246 ,42235 
2461 ,36431 
2462 ,46580 
2463 ,32970 
247 ,35077 
2471 ,35027 
2472 ,35377 
2473 ,34784 
3 ,33908 
31 ,29347 
311 ,28493 
3111 ,21060 
3112 ,30791 
3113 ,35479 
3114 ,29498 
3115 ,26964 
3116 ,31131 
3119 ,27019 
312 ,31504 
3121 ,30052 
3122 ,32006 
313 ,30219 
3131 ,30909 
3132 ,29643 
32 ,21956 
321 ,26059 
3213 ,35482 
3216 ,23695 
3217 ,20175 
3218 ,26703 
3219 ,21183 
323 ,20578 
3231 ,20264 
3233 ,20485 
3234 ,24099 
3235 ,18214 
3239 ,19515 
33 ,36104 
331 ,36104 
3311 ,
3312 ,39557 
3313 ,30856 
3314 ,27528 
3315 ,26278 
3319 ,35619 
34 ,30442 
341 ,29260 
3411 ,27784 
3412 ,28220 
3413 ,0 
3414 ,0 
3415 ,25275 
3416 ,36216 
3417 ,26072 
342 ,26477 
3421 ,25059 
3422 ,28830 
344 ,0 
3441 ,0 
3442 ,12842 
3443 ,11704 
35 ,37491 
351 ,0 
3511 ,77682 
3512 ,91678 
3513 ,0 
352 ,29535 
3520 ,29535 
353 ,38339 
3531 ,31279 
3532 ,0 
3533 ,38468 
3534 ,42128 
3535 ,52327 
3536 ,29987 
3537 ,40199 
3538 ,41951 
3539 ,28132 
354 ,40860 
3541 ,33049 
3542 ,33114 
3543 ,28100 
3544 ,25314 
3545 ,49289 
3546 ,26995 
355 ,24699 
3550 ,24699 
356 ,29143 
3561 ,29676 
3562 ,29851 
3563 ,27283 
3564 ,19741 
3565 ,30802 
3567 ,35583 
4 ,19407 
41 ,20127 
411 ,21708 
4112 ,21747 
4113 ,21886 
4114 ,19661 
412 ,20632 
4121 ,21190 
4122 ,20880 
4123 ,20981 
4124 ,25736 
4129 ,18685 
413 ,20405 
4131 ,19667 
4132 ,21234 
4133 ,21197 
4134 ,24411 
4135 ,13138 
4138 ,18817 
415 ,17286 
4151 ,19360 
4159 ,17111 
416 ,28718 
4161 ,29316 
4162 ,25114 
42 ,16698 
421 ,16698 
4211 ,17237 
4212 ,18725 
4213 ,16970 
4214 ,17523 
4215 ,20003 
4216 ,12960 
4217 ,18361 
5 ,26369 
51 ,19459 
511 ,19459 
5111 ,26798 
5112 ,19375 
5113 ,18702 
5114 ,18975 
5119 ,20673 
52 ,30680 
521 ,27856 
5211 ,0 
5212 ,28344 
5213 ,26707 
5214 ,28975 
5215 ,27343 
5216 ,37295 
522 ,30888 
5221 ,27395 
5222 ,27762 
5223 ,31727 
5224 ,27558 
5225 ,33051 
523 ,27566 
5231 ,26694 
5232 ,25876 
5234 ,25487 
5235 ,34053 
5236 ,26165 
5237 ,44214 
524 ,31935 
5241 ,31023 
5242 ,35088 
5244 ,30422 
5245 ,29289 
5249 ,32395 
525 ,36288 
5250 ,36288 
53 ,26244 
531 ,25286 
5311 ,27942 
5312 ,24138 
5313 ,22790 
5314 ,28255 
5315 ,25492 
5316 ,20665 
5319 ,24814 
532 ,23363 
5321 ,22272 
5322 ,26706 
5323 ,22618 
533 ,34358 
5330 ,34358 
54 ,18260 
541 ,19552 
5411 ,20759 
5412 ,20731 
5413 ,18398 
5414 ,0 
5419 ,21428 
542 ,23989 
5421 ,25658 
5422 ,26889 
5423 ,19899 
543 ,17016 
5431 ,18695 
5432 ,17358 
5433 ,15102 
5434 ,18242 
5435 ,11614 
5436 ,19183 
544 ,22812 
5441 ,20500 
5442 ,22263 
5443 ,11425 
5449 ,26590 
6 ,14129 
61 ,13682 
612 ,12088 
6121 ,12427 
6122 ,14163 
6123 ,6719 
6125 ,12347 
6126 ,12163 
613 ,14905 
6131 ,16546 
6132 ,21390 
6139 ,13384 
614 ,14610 
6141 ,16061 
6142 ,21756 
6143 ,14790 
6144 ,19947 
6145 ,13272 
6146 ,16688 
6147 ,8362 
6148 ,19834 
62 ,16366 
621 ,19442 
6211 ,12028 
6212 ,19148 
6214 ,23058 
6215 ,30836 
6219 ,12863 
622 ,11639 
6221 ,11240 
6222 ,12397 
623 ,15642 
6231 ,13042 
6232 ,16769 
624 ,15426 
6240 ,15426 
7 ,13786 
71 ,12158 
711 ,11378 
7111 ,11372 
7112 ,9375 
7113 ,19002 
7114 ,11707 
7115 ,22447 
712 ,18915 
7121 ,0 
7122 ,18180 
7123 ,20601 
7124 ,0 
7125 ,18679 
7129 ,19618 
713 ,19230 
7130 ,19230 
72 ,18525 
721 ,16669 
7211 ,16167 
7213 ,14943 
7214 ,24392 
7215 ,9633 
7219 ,16659 
722 ,27355 
7220 ,27355 
8 ,23828 
81 ,23132 
811 ,20925 
8111 ,18516 
8112 ,22228 
8113 ,21346 
8114 ,27910 
8115 ,28323 
8116 ,24309 
8117 ,24442 
8118 ,22289 
8119 ,25982 
812 ,24004 
8121 ,20855 
8122 ,31299 
8123 ,31276 
8124 ,32088 
8125 ,21712 
8126 ,29164 
8127 ,22033 
8129 ,25980 
813 ,23945 
8131 ,21492 
8132 ,32647 
8133 ,24323 
8134 ,18492 
8135 ,19478 
8137 ,14937 
8139 ,20858 
814 ,24562 
8141 ,31873 
8142 ,27580 
8143 ,32167 
8149 ,21943 
82 ,24497 
821 ,22913 
8211 ,27018 
8212 ,19624 
8213 ,23552 
8214 ,17820 
8215 ,28553 
822 ,26288 
8221 ,35873 
8222 ,22482 
8223 ,24757 
8229 ,26811 
823 ,39087 
8231 ,48418 
8232 ,35820 
8233 ,26175 
8234 ,40157 
8239 ,22787 
9 ,13630 
91 ,18839 
911 ,17640 
9111 ,18179 
9112 ,21804 
9119 ,15962 
912 ,21456 
9120 ,21456 
913 ,18476 
9132 ,16763 
9134 ,17472 
9139 ,19785 
92 ,12920 
921 ,21052 
9211 ,22459 
9219 ,12815 
923 ,9161 
9231 ,14931 
9232 ,17279 
9233 ,8380 
9234 ,11765 
9235 ,20149 
9236 ,14696 
9239 ,13999 
924 ,13460 
9241 ,21274 
9242 ,0 
9244 ,3315 
9249 ,15679 
925 ,10841 
9251 ,10958 
9259 ,10191 
926 ,19460 
9260 ,19460 
927 ,8945 
9271 ,17918 
9272 ,9602 
9273 ,7839 
9274 ,7524 
9275 ,5078 
9279 ,10421 
