IT support technican,IT Manager
Actuary or accountant,Accountant
Chartered accountant,Accountant
Systems analyst,IT Consultant
IT business analyst,Business Analyst
Hospital doctor,doctor
Medical doctor (after extra training),doctor
Market researcher,Health Service Manager
Taxation investigator,Health Service Manager
Broadcast engineer,Network engineer
Maths teacher,Data Scientist
Mechanical engineer,Mechanical/Design Engineer
Medical specialist,Radiographer
General practice doctor,General Practitioner (GP)
Midwifery,Midwife
Care home manager,Nurse
Regulatory affairs officer,Pharmacist
Metallurgist,Data Scientist
Instrumentation designer,Data Analyst
Statistical modeller,Data Scientist